,token_id,description
86,82370939414974673930414867809503474494481112189507180476039133472609731084289,"SAMBA #004849 - 1/1, Gold Series
 In a year without Carnival: the most radiant festival in Brazil, **SAMBA** is an experiment around the impossible and non-existent movements of _Porta-Bandeira_ (Flag-bearer) and _Mestre-sala_ (Master of Ceremonies) recreated by Artificial Intelligence.
 Even as an artist and creator, I sometimes feel like a spectator of AI Creations, surprised and delighted with rare and strange images, colors, and movements created from numbers.
 It is an AI series that I have been working on for the past few years, so I hope you like it as much as I do.
 Yaak :)"
87,44192513926775614107638438093497490625303692838102754816490159826100507639809,"All art works are randomly generated by code, enjoy the charm of color."
88,44192513926775614107638438093497490625303692838102754816490159789816623923201,"All art works are randomly generated by code, enjoy the charm of color."
89,23443662500946835264283410846443095105284164377306294737980794300706848768001,Crypto totem is a collection of 5555 totems created with generative art on the Ethereum blockchain.
90,46277885117120547291078109067990039914435488501305894424139250214364298346497,
91,17334238549178928922683112013548718585454764741088521480796845970922670129153,"— Until the two thousandth year, no one will even think about what is there and how it is on. Who is interested in this Mars? Only heroes. — Raise your hand and say, I swear! — Why, Flash? — Swear that when I die, you will scatter my ashes on Mars. — That's not my concern, Batman. Most likely, at this moment i will be guarding the peace of earthlings on earth, and not Martians on Mars. — But there will be earthmen on Mars, too. If they move to Mars, they won't become Martians. — Superman, this is for now… After a few generations, they will. As it happened once on Earth.
"
92,66406747123743156841746366950152533278033835913591691491127079811610109280257,
93,46277885117120547291078109067990039914435488501305894424139250100015089057793,
94,30041571019036570279696425714306755064417936087066583674697140662515011682305,
95,34085485605809858234645056736246100833627908360907625323341308883087623454721,
96,1076,Welcome citizen! This NFT acts as your pass to all things Loveless City and $LOVE
97,85085507933408271046452238667602385367365441338342966695615580394098459148289,
98,23443662500946835264283410846443095105284164377306294737980796274330220625921,Crypto totem is a collection of 5555 totems created with generative art on the Ethereum blockchain.
99,34085485605809858234645056736246100833627908360907625323341308908376390893569,
